dataset,size,algorithm,time_us,char_comparisons
"reverse_sorted",1900,"standard_quicksort",81,82277
"reverse_sorted",1900,"standard_mergesort",623,33528
"reverse_sorted",1900,"string_quicksort",461,34323
"reverse_sorted",1900,"string_mergesort",259,7391
"reverse_sorted",1900,"msd_radix_sort",305,0
"reverse_sorted",1900,"msd_radix_sort_with_quick",388,16540
"reverse_sorted",2000,"standard_quicksort",87,87797
"reverse_sorted",2000,"standard_mergesort",673,28954
"reverse_sorted",2000,"string_quicksort",517,36259
"reverse_sorted",2000,"string_mergesort",257,7624
"reverse_sorted",2000,"msd_radix_sort",343,0
"reverse_sorted",2000,"msd_radix_sort_with_quick",421,16530
"reverse_sorted",2100,"standard_quicksort",91,95183
"reverse_sorted",2100,"standard_mergesort",724,26672
"reverse_sorted",2100,"string_quicksort",531,36026
"reverse_sorted",2100,"string_mergesort",262,8062
"reverse_sorted",2100,"msd_radix_sort",372,0
"reverse_sorted",2100,"msd_radix_sort_with_quick",420,17761
"reverse_sorted",2200,"standard_quicksort",102,95376
"reverse_sorted",2200,"standard_mergesort",754,28703
"reverse_sorted",2200,"string_quicksort",621,48214
"reverse_sorted",2200,"string_mergesort",292,8658
"reverse_sorted",2200,"msd_radix_sort",377,0
"reverse_sorted",2200,"msd_radix_sort_with_quick",455,18935
"reverse_sorted",2300,"standard_quicksort",89,93385
"reverse_sorted",2300,"standard_mergesort",800,30383
"reverse_sorted",2300,"string_quicksort",585,40873
"reverse_sorted",2300,"string_mergesort",303,8980
"reverse_sorted",2300,"msd_radix_sort",395,0
"reverse_sorted",2300,"msd_radix_sort_with_quick",483,20302
"reverse_sorted",2400,"standard_quicksort",105,106026
"reverse_sorted",2400,"standard_mergesort",834,32820
"reverse_sorted",2400,"string_quicksort",633,42450
"reverse_sorted",2400,"string_mergesort",316,9494
"reverse_sorted",2400,"msd_radix_sort",406,0
"reverse_sorted",2400,"msd_radix_sort_with_quick",501,20800
"reverse_sorted",2500,"standard_quicksort",115,113142
"reverse_sorted",2500,"standard_mergesort",901,35115
"reverse_sorted",2500,"string_quicksort",652,46495
"reverse_sorted",2500,"string_mergesort",327,10089
"reverse_sorted",2500,"msd_radix_sort",432,0
"reverse_sorted",2500,"msd_radix_sort_with_quick",525,21316
"reverse_sorted",2600,"standard_quicksort",116,114679
"reverse_sorted",2600,"standard_mergesort",915,37281
"reverse_sorted",2600,"string_quicksort",692,50175
"reverse_sorted",2600,"string_mergesort",350,10369
"reverse_sorted",2600,"msd_radix_sort",448,0
"reverse_sorted",2600,"msd_radix_sort_with_quick",535,22212
"reverse_sorted",2700,"standard_quicksort",118,112502
"reverse_sorted",2700,"standard_mergesort",965,39438
"reverse_sorted",2700,"string_quicksort",677,49299
"reverse_sorted",2700,"string_mergesort",363,10607
"reverse_sorted",2700,"msd_radix_sort",464,0
"reverse_sorted",2700,"msd_radix_sort_with_quick",572,23815
"reverse_sorted",2800,"standard_quicksort",118,119582
"reverse_sorted",2800,"standard_mergesort",995,41894
"reverse_sorted",2800,"string_quicksort",703,51336
"reverse_sorted",2800,"string_mergesort",386,11164
"reverse_sorted",2800,"msd_radix_sort",479,0
"reverse_sorted",2800,"msd_radix_sort_with_quick",584,24026
"reverse_sorted",2900,"standard_quicksort",123,130431
"reverse_sorted",2900,"standard_mergesort",1029,44370
"reverse_sorted",2900,"string_quicksort",767,55330
"reverse_sorted",2900,"string_mergesort",385,11574
"reverse_sorted",2900,"msd_radix_sort",501,0
"reverse_sorted",2900,"msd_radix_sort_with_quick",611,25415
"reverse_sorted",3000,"standard_quicksort",116,123763
"reverse_sorted",3000,"standard_mergesort",1080,46849
"reverse_sorted",3000,"string_quicksort",803,61649
"reverse_sorted",3000,"string_mergesort",402,11880
"reverse_sorted",3000,"msd_radix_sort",521,0
"reverse_sorted",3000,"msd_radix_sort_with_quick",626,25827
"almost_sorted",100,"standard_quicksort",5,2848
"almost_sorted",100,"standard_mergesort",17,633
"almost_sorted",100,"string_quicksort",23,1088
"almost_sorted",100,"string_mergesort",14,354
"almost_sorted",100,"msd_radix_sort",15,0
"almost_sorted",100,"msd_radix_sort_with_quick",20,744
"almost_sorted",200,"standard_quicksort",10,5234
"almost_sorted",200,"standard_mergesort",40,1463
"almost_sorted",200,"string_quicksort",46,2299
"almost_sorted",200,"string_mergesort",27,747
"almost_sorted",200,"msd_radix_sort",31,0
"almost_sorted",200,"msd_radix_sort_with_quick",40,1374
"almost_sorted",300,"standard_quicksort",15,10900
"almost_sorted",300,"standard_mergesort",68,2470
"almost_sorted",300,"string_quicksort",64,3957
"almost_sorted",300,"string_mergesort",38,1202
"almost_sorted",300,"msd_radix_sort",43,0
"almost_sorted",300,"msd_radix_sort_with_quick",60,2213
"almost_sorted",400,"standard_quicksort",23,12607
"almost_sorted",400,"standard_mergesort",97,3400
"almost_sorted",400,"string_quicksort",91,5794
"almost_sorted",400,"string_mergesort",53,1611
"almost_sorted",400,"msd_radix_sort",67,0
"almost_sorted",400,"msd_radix_sort_with_quick",80,2853
"almost_sorted",500,"standard_quicksort",29,17594
"almost_sorted",500,"standard_mergesort",134,4600
"almost_sorted",500,"string_quicksort",112,7712
"almost_sorted",500,"string_mergesort",63,2130
"almost_sorted",500,"msd_radix_sort",83,0
"almost_sorted",500,"msd_radix_sort_with_quick",103,3981
"almost_sorted",600,"standard_quicksort",30,19624
"almost_sorted",600,"standard_mergesort",159,5631
"almost_sorted",600,"string_quicksort",146,8652
"almost_sorted",600,"string_mergesort",84,2514
"almost_sorted",600,"msd_radix_sort",90,0
"almost_sorted",600,"msd_radix_sort_with_quick",109,4576
"almost_sorted",700,"standard_quicksort",36,22381
"almost_sorted",700,"standard_mergesort",200,6827
"almost_sorted",700,"string_quicksort",172,12224
"almost_sorted",700,"string_mergesort",99,3023
"almost_sorted",700,"msd_radix_sort",117,0
"almost_sorted",700,"msd_radix_sort_with_quick",132,5468
"almost_sorted",800,"standard_quicksort",43,28480
"almost_sorted",800,"standard_mergesort",220,7879
"almost_sorted",800,"string_quicksort",192,12961
"almost_sorted",800,"string_mergesort",113,3540
"almost_sorted",800,"msd_radix_sort",132,0
"almost_sorted",800,"msd_radix_sort_with_quick",168,6126
"almost_sorted",900,"standard_quicksort",45,29855
"almost_sorted",900,"standard_mergesort",232,8964
"almost_sorted",900,"string_quicksort",224,13079
"almost_sorted",900,"string_mergesort",129,4162
"almost_sorted",900,"msd_radix_sort",140,0
"almost_sorted",900,"msd_radix_sort_with_quick",172,7126
"almost_sorted",1000,"standard_quicksort",61,37061
"almost_sorted",1000,"standard_mergesort",290,10499
"almost_sorted",1000,"string_quicksort",254,16020
"almost_sorted",1000,"string_mergesort",134,4668
"almost_sorted",1000,"msd_radix_sort",160,0
"almost_sorted",1000,"msd_radix_sort_with_quick",197,7992
"almost_sorted",1100,"standard_quicksort",63,38396
"almost_sorted",1100,"standard_mergesort",355,11772
"almost_sorted",1100,"string_quicksort",269,17117
"almost_sorted",1100,"string_mergesort",148,5063
"almost_sorted",1100,"msd_radix_sort",174,0
"almost_sorted",1100,"msd_radix_sort_with_quick",225,9028
"almost_sorted",1200,"standard_quicksort",66,44110
"almost_sorted",1200,"standard_mergesort",363,12790
"almost_sorted",1200,"string_quicksort",322,21053
"almost_sorted",1200,"string_mergesort",155,5480
"almost_sorted",1200,"msd_radix_sort",195,0
"almost_sorted",1200,"msd_radix_sort_with_quick",241,9457
"almost_sorted",1300,"standard_quicksort",77,44973
"almost_sorted",1300,"standard_mergesort",394,14002
"almost_sorted",1300,"string_quicksort",315,20373
"almost_sorted",1300,"string_mergesort",186,5983
"almost_sorted",1300,"msd_radix_sort",210,0
"almost_sorted",1300,"msd_radix_sort_with_quick",260,10469
"almost_sorted",1400,"standard_quicksort",78,49930
"almost_sorted",1400,"standard_mergesort",422,15268
"almost_sorted",1400,"string_quicksort",381,25133
